age,s_adj,sex,unit,geo\time	2020Q4 	2020Q3 	2020Q2 	2020Q1 	2019Q4 	2019Q3 	2019Q2 	2019Q1 	2018Q4 	2018Q3 	2018Q2 	2018Q1 	2017Q4 	2017Q3 	2017Q2 	2017Q1 	2016Q4 	2016Q3 	2016Q2 	2016Q1 	2015Q4 	2015Q3 	2015Q2 	2015Q1 	2014Q4 	2014Q3 	2014Q2 	2014Q1 	2013Q4 	2013Q3 	2013Q2 	2013Q1 	2012Q4 	2012Q3 	2012Q2 	2012Q1 	2011Q4 	2011Q3 	2011Q2 	2011Q1 	2010Q4 	2010Q3 	2010Q2 	2010Q1 	2009Q4 	2009Q3 	2009Q2 	2009Q1 	2008Q4 	2008Q3 	2008Q2 	2008Q1 	2007Q4 	2007Q3 	2007Q2 	2007Q1 	2006Q4 	2006Q3 	2006Q2 	2006Q1 
Y20-64,NSA,F,I06,AT	99.1 	99.9 	93.2 	106.1 	113.1 	103.3 	110.4 	112.1 	109.5 	100.5 	110.1 	109.3 	108.4 	99.1 	107.8 	110.8 	107.2 	99.7 	110.5 	106.0 	103.7 	99.4 	105.9 	103.9 	106.5 	97.3 	104.7 	106.1 	105.4 	97.7 	106.9 	104.5 	104.0 	97.9 	104.3 	106.7 	103.6 	97.5 	105.9 	107.1 	102.7 	97.6 	104.7 	103.9 	100.1 	98.6 	104.3 	101.3 	104.3 	99.8 	108.2 	103.6 	103.5 	97.9 	102.5 	104.4 	102.7 	95.6 	100.7 	100.9 
Y20-64,NSA,F,I06,BE	109.7 	102.0 	100.1 	113.6 	117.8 	102.1 	118.4 	119.4 	118.0 	102.5 	113.3 	116.6 	112.8 	98.2 	113.9 	117.7 b	122.0 	109.0 	123.2 	126.6 	121.1 	108.0 	122.3 	123.0 	125.8 	108.1 	122.1 	121.0 	117.9 	107.7 	121.1 	118.0 	116.3 	104.1 	115.2 	118.8 	114.0 	101.7 	117.3 	115.0 	114.8 	99.6 	111.5 	121.3 	112.5 	98.8 	108.0 	111.1 	110.3 	100.2 	112.0 	111.4 	111.3 	95.2 	108.2 	108.1 	103.4 	87.9 	102.0 	106.8 
Y20-64,NSA,F,I06,BG	93.1 	97.3 	87.9 	96.4 	99.5 	99.0 	101.5 	99.9 	97.6 	96.4 	98.7 	97.9 	98.4 	98.4 	99.9 	96.5 	96.1 	93.9 	95.0 	94.8 	98.6 	97.7 	96.5 	94.8 	97.0 	96.2 	95.0 	92.8 	94.3 	96.4 	94.1 	92.5 	93.7 	95.5 	93.9 	95.0 	99.0 	95.7 	95.7 	95.6 b	99.4 	99.3 	100.0 	97.2 b	101.2 	100.8 	103.0 	100.6 	107.4 	107.3 	108.7 	107.5 	108.5 	103.1 	104.6 	100.4 	103.8 	99.8 	100.8 	95.6 
Y20-64,NSA,F,I06,CY	121.7 	113.1 	96.0 	116.3 	126.2 	117.0 	125.2 	121.2 	126.2 	115.1 	122.5 	120.2 	120.7 	109.9 	116.2 	113.5 	116.4 	107.2 	114.6 	109.4 	115.9 	103.5 	112.3 	108.7 	115.8 	106.6 	113.5 	112.1 	114.1 	104.6 	112.3 	115.8 	125.2 	111.7 	120.6 	125.6 	126.9 	110.2 	127.0 	123.8 	125.6 	107.8 	123.6 	118.6 	117.5 	105.7 	114.2 	109.8 b	112.3 	101.4 	110.0 	111.5 	113.6 	100.9 	109.0 	107.6 	106.6 	92.0 	100.1 	101.2 
Y20-64,NSA,F,I06,CZ	90.7 	94.7 	93.3 	102.4 	104.5 	94.7 	106.3 	109.5 	107.5 	93.6 	108.6 	107.6 	104.7 	89.7 	104.5 	109.8 	102.8 	90.4 	111.4 	106.9 	95.5 	92.4 	105.5 	102.3 	98.7 	90.4 	100.8 	101.0 	97.7 	87.4 	101.2 	99.0 	99.1 	84.5 	100.6 	103.7 	97.1 	86.2 	102.2 	103.8 b	97.0 	88.2 	103.9 	103.0 	98.7 	90.5 	102.9 	101.2 	101.9 	96.0 	106.5 	104.6 	102.1 	91.7 	104.6 	104.6 	101.1 	91.1 	102.9 	104.9 
Y20-64,NSA,F,I06,DE	: 	: 	: 	: 	114.9 	107.5 	109.5 	113.0 	112.0 	107.7 	109.1 	111.0 	110.5 	105.8 	107.7 	111.3 	112.7 	105.2 	110.2 	109.4 	108.5 	102.9 	105.8 	106.0 	107.0 	102.6 	104.5 	106.2 	104.9 	100.6 	104.3 	104.6 	104.3 	100.1 	102.8 	105.2 	105.0 	99.5 	102.3 	104.8 	105.0 	99.3 	102.7 	103.6 b	105.9 	99.0 	101.7 	102.3 	105.9 	101.9 	102.9 	102.6 	104.7 	99.5 	100.4 	101.7 	102.9 	97.9 	99.5 	99.7 
Y20-64,NSA,F,I06,DK	109.5 	96.9 	99.7 	105.3 	108.4 	97.2 	103.1 	109.4 	106.3 	98.0 	112.0 	106.1 	104.3 	93.5 	104.4 	108.1 b	102.1 	93.7 	107.3 	102.7 b	105.6 	92.1 	103.1 	101.1 	101.4 	90.4 	102.3 	102.9 	101.8 	91.4 	105.2 	99.7 	101.2 	89.6 	102.5 	104.9 	100.0 	90.5 	100.8 	104.1 	98.1 	91.5 	104.7 	99.9 	99.8 	93.1 	102.7 	104.8 	105.2 	94.8 	107.1 	102.3 b	104.8 	94.5 	102.2 	107.1 	102.8 	90.9 	100.0 	106.4 
Y20-64,NSA,F,I06,EE	87.1 	79.4 	77.7 	86.5 	89.2 	79.9 	88.4 	89.7 	87.8 	79.5 	89.2 	89.0 	92.9 	84.8 	87.2 	92.1 	89.1 	81.2 	90.3 	89.0 	90.6 	83.0 	89.2 	89.8 	90.9 	82.1 	90.1 	88.1 	91.5 	81.2 	90.9 	88.7 	89.3 	80.5 	91.6 	91.7 	91.7 	85.7 	88.3 	88.0 	88.0 	77.5 	84.2 	88.6 	86.8 	79.2 	88.9 	92.3 	97.4 	94.9 	100.9 	99.3 	99.4 	94.8 	99.8 	101.9 	101.4 	94.5 	102.4 	101.7 
Y20-64,NSA,F,I06,EL	81.9 	89.3 	67.7 	82.0 	91.9 	91.7 	94.7 	86.7 	88.0 	89.5 	90.7 	83.7 	86.5 	87.4 	90.8 	84.7 	85.5 	86.3 	88.9 	84.3 	86.9 	86.2 	87.9 	81.7 	84.8 	82.6 	85.1 	80.8 	81.4 	81.5 	84.6 	81.1 	85.0 	85.3 	88.8 	88.5 	91.8 	93.7 	98.2 	96.1 	98.9 	98.1 	103.7 	98.1 	101.0 	100.0 	103.9 	100.0 b	103.6 	99.4 	105.2 	99.3 	101.6 	98.3 	101.2 	97.3 	100.5 	100.0 	101.4 	98.1 
Y20-64,NSA,F,I06,ES	105.1 	92.3 	81.8 	107.6 	112.2 	100.2 	112.3 	110.8 	109.1 	99.9 	112.4 	107.2 	104.7 	95.3 	106.4 	106.0 	103.5 	95.0 	107.7 	102.3 	103.1 	92.1 	102.3 	98.4 	100.9 	88.7 	99.4 	98.1 	98.7 	89.2 	100.4 	96.4 	97.4 	90.6 	102.3 	103.2 	101.6 	94.5 	107.1 	106.6 	103.0 	95.0 	108.8 	104.7 	105.2 	94.6 	107.1 	105.9 	109.3 	98.5 	113.3 	106.4 	106.3 	96.1 	107.1 	106.2 	102.4 	92.9 	102.4 	102.2 
